No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
119,operationTimeRaw,operationTimeRaw,00:00:30,2024-01-29T11:59:06.291584,Counting,1
120,operationTimeRaw,operationTimeRaw,00:00:31,2024-01-29T11:59:07.330417,Counting,1
121,operationTimeRaw,operationTimeRaw,00:00:32,2024-01-29T11:59:08.352591,Counting,1
122,operationTimeRaw,operationTimeRaw,00:00:33,2024-01-29T11:59:09.369897,Counting,1
123,operationTimeRaw,operationTimeRaw,00:00:34,2024-01-29T11:59:10.403853,Counting,1
124,operationTimeRaw,operationTimeRaw,00:00:35,2024-01-29T11:59:11.425153,Counting,1
125,operationTimeRaw,operationTimeRaw,00:00:36,2024-01-29T11:59:12.458852,Counting,1
126,operationTimeRaw,operationTimeRaw,00:00:37,2024-01-29T11:59:13.485331,Counting,1
127,operationTimeRaw,operationTimeRaw,00:00:38,2024-01-29T11:59:14.517705,Counting,1
128,operationTimeRaw,operationTimeRaw,00:00:39,2024-01-29T11:59:15.555418,Counting,1
129,operationTimeRaw,operationTimeRaw,00:00:40,2024-01-29T11:59:16.586132,Counting,1
130,operationTimeRaw,operationTimeRaw,00:00:41,2024-01-29T11:59:17.613748,Counting,1
131,operationTimeRaw,operationTimeRaw,00:00:42,2024-01-29T11:59:18.657798,Counting,1
132,operationTimeRaw,operationTimeRaw,00:00:43,2024-01-29T11:59:19.691557,Counting,1
133,operationTimeRaw,operationTimeRaw,00:00:44,2024-01-29T11:59:20.725737,Counting,1
134,operationTimeRaw,operationTimeRaw,00:00:45,2024-01-29T11:59:21.743147,Counting,1
135,operationTimeRaw,operationTimeRaw,00:00:46,2024-01-29T11:59:22.765827,Counting,1
136,M60,S1_BF_JAM_T1_X24,1,2024-01-29T11:59:23.311207,Alarm,1
137,M61,S1_BF_JAM_T2_X25,1,2024-01-29T11:59:23.418015,Alarm,1
138,M62,S1_BF_JAM_T3_X26,1,2024-01-29T11:59:23.507909,Alarm,1
139,operationTimeRaw,operationTimeRaw,00:00:47,2024-01-29T11:59:23.798255,Counting,1
140,operationTimeRaw,operationTimeRaw,00:00:48,2024-01-29T11:59:24.860238,Counting,1
141,operationTimeRaw,operationTimeRaw,00:00:49,2024-01-29T11:59:25.879172,Counting,1
142,operationTimeRaw,operationTimeRaw,00:00:50,2024-01-29T11:59:26.948508,Counting,1
143,operationTimeRaw,operationTimeRaw,00:00:51,2024-01-29T11:59:27.968449,Counting,1
144,operationTimeRaw,operationTimeRaw,00:00:52,2024-01-29T11:59:29.000425,Counting,1
145,operationTimeRaw,operationTimeRaw,00:00:53,2024-01-29T11:59:30.035468,Counting,1
146,operationTimeRaw,operationTimeRaw,00:00:54,2024-01-29T11:59:31.065988,Counting,1
