No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
150,b'\x02\x08\x00',pressure,160.9,2024-01-27T16:53:46.712555,Omron,1
151,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:53:47.666966,Omron,1
152,b'\x02\x08\x00',pressure,160.9,2024-01-27T16:53:49.516690,Omron,1
153,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:53:50.468480,Omron,1
154,b'\x02\x08\x00',pressure,160.9,2024-01-27T16:53:55.656945,Omron,1
155,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:53:56.612715,Omron,1
156,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:33.712610,Omron,1
157,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:34.636957,Omron,1
158,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:37.503649,Omron,1
159,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:38.461387,Omron,1
160,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:39.402427,Omron,1
161,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:40.360702,Omron,1
162,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:43.654216,Omron,1
163,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:45.552818,Omron,1
164,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:48.313804,Omron,1
165,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:51.511312,Omron,1
166,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:52.436997,Omron,1
167,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:53.367404,Omron,1
168,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:54.289164,Omron,1
169,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:55.699074,Omron,1
170,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:54:58.508693,Omron,1
171,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:54:59.437029,Omron,1
172,b'\x02X\x00',temperature,166.7,2024-01-27T16:54:59.568626,Omron,1
173,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:55:01.719185,Omron,1
174,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:55:02.641468,Omron,1
175,b'\x02\x08\x00',pressure,161.1,2024-01-27T16:55:03.626169,Omron,1
